図表：１－１－１（刑法犯認知・検挙状況）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年次,S21,S22,S23,S24,S25,S26,S27,S28,S29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,凶悪犯,認知件数,4437,5750,7034,7287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数,3922,4832,6228,6469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,3978,4860,6300,6579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,粗暴犯,認知件数,52701,58474,57746,61850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数,43499,47736,47596,49438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,45682,49846,49484,51257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,窃盗犯,認知件数,407911,483695,501507,513931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数,148122,157115,166049,173507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,79234,85535,88302,92589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,知能犯,認知件数,41308,50035,61986,77473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数,18809,19559,19423,20803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,12534,11967,11546,12111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,風俗犯,認知件数,8133,11774,18465,20204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数,6648,8571,15168,17168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,5432,6840,11074,12270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,その他の刑法犯,認知件数,86841,93623,90941,93397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
